CUPS;;ES0021000007463134RE

Tarifa;;3.1A
Potencia Contratada (kWh);;P1;12
Potencia Contratada (kWh);;P2;15
Potencia Contratada (kWh);;P3;20
Potencia Contratada (kWh);;P4;0
Potencia Contratada (kWh);;P5;0
Potencia Contratada (kWh);;P6;0
Tension;;20.000
Fecha ultima lectura;;14/01/2020

Lecturas de activa(kWh):
Periodo;;Activa P1;Activa P2;Activa P3;Activa P4;Activa P5;Activa P6
11/10/2019-14/01/2020;;2626,26;4584,3;3562,6;485,64;1605,6;4278
11/07/2019-11/10/2019;;0;4994;3697,28;2951,76;1298,08;3702,8
17/06/2019-11/07/2019;;0;1443,44;1081,2;843,36;300,88;882,64
21/05/2019-17/06/2019;;0;1339,7;969,1;751,38;349,34;1020,64
12/04/2019-21/05/2019;;0;2167,1;1571,96;1282,32;704,08;2030,86
12/03/2019-12/04/2019;;697,72;1826,92;1448,64;499,52;443,8;1277,48
12/02/2019-12/03/2019;;985,36;1577,52;1197,2;0;440,24;1195,76
17/01/2019-12/02/2019;;1209;1873,04;1392,04;0;563,16;1593,8
19/12/2018-17/01/2019;;1208,24;1855,54;1492,54;0;627,52;1735,6
14/11/2018-19/12/2018;;1439,7;2198,08;1636,36;0;651,18;1777,88
11/10/2018-14/11/2018;;627,84;2007,2;1401,08;518,68;674,64;1926,96
17/09/2018-11/10/2018;;0;1194,88;878,4;672,8;236,4;660,08

Lecturas de reactiva(kVArh):
Periodo;;Reactiva P1;Reactiva P2;Reactiva P3;Reactiva P4;Reactiva P5;Reactiva P6
11/10/2019-14/01/2020;;744,64;1747,2;1311,44;267,28;462,8;1444,56
11/07/2019-11/10/2019;;0;3803,28;3105,44;2329,6;957,84;2926,56
17/06/2019-11/07/2019;;0;1084,72;898,56;655,2;216,32;690,56
21/05/2019-17/06/2019;;0;887,12;742,56;533,52;223,6;695,76
12/04/2019-21/05/2019;;0;1193,92;1001,52;744,64;359,84;1123,2
12/03/2019-12/04/2019;;338;919,36;786,24;243,36;198,64;626,08
12/02/2019-12/03/2019;;473,2;816,4;656,24;0;187,2;599,04
17/01/2019-12/02/2019;;406,64;714,48;543,92;0;191,36;602,16
19/12/2018-17/01/2019;;427,44;734,24;591,76;0;226,72;706,16
14/11/2018-19/12/2018;;580,32;970,32;739,44;0;242,32;767,52
11/10/2018-14/11/2018;;272,48;957,84;745,68;292,24;303,68;934,96
17/09/2018-11/10/2018;;0;788,32;640,64;460,72;138,32;434,72

Lecturas de maximetro(kW):
Periodo;;Potencia P1;Potencia P2;Potencia P3;Potencia P4;Potencia P5;Potencia P6
11/10/2019-14/01/2020;;13,52;13,52;11,44;0;11,44;12,48
11/07/2019-11/10/2019;;0;11,44;8,32;11,44;13,52;10,4
17/06/2019-11/07/2019;;0;11,44;9,36;10,4;11,44;12,48
21/05/2019-17/06/2019;;0;14,56;9,36;12,48;14,56;11,44
12/04/2019-21/05/2019;;0;16,64;10,4;12,48;13,52;14,56
12/03/2019-12/04/2019;;12,48;11,44;9,36;0;15,6;14,56
12/02/2019-12/03/2019;;19,76;18,72;13,52;0;18,72;22,88
17/01/2019-12/02/2019;;18,72;16,64;12,48;0;15,6;19,76
19/12/2018-17/01/2019;;15,6;14,56;11,44;0;16,64;14,56
14/11/2018-19/12/2018;;15,6;13,52;11,44;0;15,6;13,52
11/10/2018-14/11/2018;;11,44;17,68;12,48;12,48;19,76;20,8
17/09/2018-11/10/2018;;0;10,4;9,36;9,36;11,44;11,44

Consumo anual estimado(kWh):
Periodo;;Total
P1;;5518
P2;;19806
P3;;14920
P4;;6814
P5;;5705
P6;;15983
