CUPS;;ES0021000005204736CV

Tarifa;;3.0A
Potencia Contratada (kWh);;P1;15,001
Potencia Contratada (kWh);;P2;15,001
Potencia Contratada (kWh);;P3;15,001
Potencia Contratada (kWh);;P4;0
Potencia Contratada (kWh);;P5;0
Potencia Contratada (kWh);;P6;0
Tension;;3X400/230
Fecha ultima lectura;;07/10/2020

Lecturas de activa(kWh):
Periodo;;Activa P1;Activa P2;Activa P3;Activa P4;Activa P5;Activa P6
30/09/2020-07/10/2020;;90;103;12;3;15;5
31/08/2020-30/09/2020;;237;308;56;9;28;19
31/07/2020-31/08/2020;;302;226;52;20;36;24
30/06/2020-31/07/2020;;400;280;60;9;38;28
31/05/2020-30/06/2020;;238;186;57;16;43;18
30/04/2020-31/05/2020;;96;95;45;14;37;28
31/03/2020-30/04/2020;;43;96;51;9;26;18
05/03/2020-31/03/2020;;82;330;41;9;31;18
06/02/2020-05/03/2020;;197;1238;70;17;29;18
08/01/2020-06/02/2020;;260;1719;99;9;27;19
09/12/2019-08/01/2020;;116;1330;57;19;71;36
07/11/2019-09/12/2019;;184;1315;88;13;42;24
06/10/2019-07/11/2019;;315;618;52;9;35;20
08/09/2019-06/10/2019;;215;332;45;9;30;18
06/08/2019-08/09/2019;;297;317;48;12;46;24
04/07/2019-06/08/2019;;415;462;54;12;36;24
09/06/2019-04/07/2019;;289;378;42;6;24;13
07/05/2019-09/06/2019;;302;377;52;19;36;21
04/04/2019-07/05/2019;;258;375;66;16;49;29
06/03/2019-04/04/2019;;123;467;72;16;47;24
04/02/2019-06/03/2019;;85;1090;85;15;48;31
07/01/2019-04/02/2019;;88;1409;79;15;54;30
06/12/2018-07/01/2019;;83;1052;87;31;90;52
06/11/2018-06/12/2018;;91;822;107;22;67;44
04/10/2018-06/11/2018;;248;607;101;49;100;55
04/09/2018-04/10/2018;;302;473;105;19;60;38
06/08/2018-04/09/2018;;406;455;95;22;75;43
05/07/2018-06/08/2018;;436;522;108;25;91;50
05/06/2018-05/07/2018;;329;530;113;26;72;38
07/05/2018-05/06/2018;;208;360;103;25;65;40
04/04/2018-07/05/2018;;364;525;103;32;87;52
05/03/2018-04/04/2018;;280;1164;119;18;58;35
09/02/2018-05/03/2018;;183;1233;84;22;63;42
09/01/2018-09/02/2018;;231;1776;108;22;59;39
09/12/2017-09/01/2018;;155;1217;109;28;78;51
08/10/2017-09/12/2017;;370;1689;199;56;161;101

Lecturas de reactiva(kVArh):
Periodo;;Reactiva P1;Reactiva P2;Reactiva P3;Reactiva P4;Reactiva P5;Reactiva P6
30/09/2020-07/10/2020;;0;0;0;0;0;0
31/08/2020-30/09/2020;;0;0;0;0;0;0
31/07/2020-31/08/2020;;0;0;0;0;0;0
30/06/2020-31/07/2020;;0;0;0;0;0;0
31/05/2020-30/06/2020;;0;0;0;0;0;0
