,Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalización
0,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.115799825,0.115799825,0.115799825,0.115799825,0.115799825,0.115799825,2018-01-01,2018-01-31
1,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.120399217,0.120399217,0.120399217,0.120399217,0.120399217,0.120399217,2018-01-02,2018-02-28
2,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.104827224,0.104827224,0.104827224,0.104827224,0.104827224,0.104827224,2018-01-03,2018-03-31
3,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.107301279,0.107301279,0.107301279,0.107301279,0.107301279,0.107301279,2018-01-04,2018-04-30
4,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.119495822,0.119495822,0.119495822,0.119495822,0.119495822,0.119495822,2018-01-05,2018-05-31
5,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.123043304,0.123043304,0.123043304,0.123043304,0.123043304,0.123043304,2018-01-06,2018-06-30
6,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.125876603,0.125876603,0.125876603,0.125876603,0.125876603,0.125876603,2018-01-07,2018-07-31
7,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.132477846,0.132477846,0.132477846,0.132477846,0.132477846,0.132477846,2018-01-08,2018-08-31
8,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.139386949,0.139386949,0.139386949,0.139386949,0.139386949,0.139386949,2018-01-09,2018-09-30
9,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.131271517,0.131271517,0.131271517,0.131271517,0.131271517,0.131271517,2018-01-10,2018-10-31
10,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.129014832,0.129014832,0.129014832,0.129014832,0.129014832,0.129014832,2018-01-11,2018-11-30
11,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.130115449,0.130115449,0.130115449,0.130115449,0.130115449,0.130115449,2018-01-12,2018-12-31
12,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.12966895,0.12966895,0.12966895,0.12966895,0.12966895,0.12966895,2019-01-01,2019-01-31
13,Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.120030153,0.120030153,0.120030153,0.120030153,0.120030153,0.120030153,2019-01-02,2019-02-28
